food_name,calories_x,carbohydrates_x,fiber_x,fats_x,glycemic_index,category,description,brand,food_category,sugars_x,proteins_x,serving_weight,restaurant_name,serving_size,serving_unit,calories_y,carbohydrates_y,sugars_y,fats_y,saturated_fats,cholesterol,sodium,fiber_y,potassium,proteins_y,calories_per_100g,carbs_per_100g,fats_per_100g,gi_category
#1 whataburger,,,,,,,,,,,,,Whataburger,1.0,Serving,184.62,22.29,22.2,4.25,2.76,21.34,196.12,0.0,708.41,14.46,,,,Unknown
#2 double meat whataburger,,,,,,,,,,,,,Whataburger,1.0,Serving,354.0,28.92,4.98,17.23,6.12,56.4,496.8,1.08,271.2,20.5,,,,Unknown
#3 triple meat whataburger,,,,,,,,,,,,,Whataburger,1.0,Serving,771.9,40.24,8.19,47.73,19.96,156.87,1586.13,1.25,572.7,45.32,,,,Unknown
#4 jalapeno & cheese whataburger,,,,,,,,,,,,,Whataburger,1.0,Serving,543.53,41.09,8.33,28.76,14.02,95.52,1176.94,3.18,514.08,30.53,,,,Unknown
#5 bacon & cheese whataburger,,,,,,,,,,,,,Whataburger,1.0,Serving,595.02,39.86,9.77,33.46,12.93,105.5,1422.14,2.74,502.18,33.3,,,,Unknown
#7 whataburger jr.,,,,,,,,,,,,,Whataburger,1.0,Serving,62.04,4.63,1.01,4.09,1.61,7.57,255.86,1.5,142.82,2.14,,,,Unknown
#8 double meat whataburger jr.,,,,,,,,,,,,,Whataburger,1.0,Serving,354.0,28.92,4.98,17.23,6.12,56.4,496.8,1.08,271.2,20.5,,,,Unknown
2% milk,,,,,,,,,,,,,The Old Spaghetti Factory,1.0,Serving,122.0,11.71,12.35,4.83,3.07,19.52,114.68,0.0,341.6,8.05,,,,Unknown
3 chicken tenders,,,,,,,,,,,,,Smashburger,1.0,Serving,111.74,7.14,0.09,6.15,1.09,17.02,296.0,0.33,119.88,6.99,,,,Unknown
359. ihop,,,,,,,,,,,,,Ike's Love & Sandwiches,1.0,Sandwich,1400.0,,,,,,,,,,,,,Unknown
5 chicken tenders,,,,,,,,,,,,,Smashburger,1.0,Serving,111.74,7.14,0.09,6.15,1.09,17.02,296.0,0.33,119.88,6.99,,,,Unknown
55+ blt,,,,,,,,,,,,,IHOP,1.0,Serving,761.16,7.49,4.5,74.03,18.85,104.95,1534.27,1.04,472.19,16.55,,,,Unknown
6 inch #11 subway club,,,,,,,,,,,,,Subway,1.0,Serving,1411.81,245.11,5.0,30.52,4.27,0.0,2377.19,10.05,392.52,34.71,,,,Unknown
"7up (with ice), large",,,,,,,,,,,,,In-N-Out Burger,22.0,oz.,399.84,58.22,41.96,16.93,10.22,92.61,145.53,0.56,54.77,4.19,,,,Unknown
"7up (with ice), medium",,,,,,,,,,,,,In-N-Out Burger,15.0,oz.,399.84,58.22,41.96,16.93,10.22,92.61,145.53,0.56,54.77,4.19,,,,Unknown
"7up (with ice), small",,,,,,,,,,,,,In-N-Out Burger,11.0,oz.,221.52,29.42,0.21,10.46,1.66,0.0,149.1,2.7,411.09,2.44,,,,Unknown
"7up (with ice), x-large",,,,,,,,,,,,,In-N-Out Burger,29.0,oz.,399.84,58.22,41.96,16.93,10.22,92.61,145.53,0.56,54.77,4.19,,,,Unknown
"7up (without ice), large",,,,,,,,,,,,,In-N-Out Burger,30.0,oz.,399.84,58.22,41.96,16.93,10.22,92.61,145.53,0.56,54.77,4.19,,,,Unknown
"7up (without ice), medium",,,,,,,,,,,,,In-N-Out Burger,20.0,oz.,171.38,24.5,1.07,6.42,0.94,0.0,277.83,1.28,94.64,3.63,,,,Unknown
"7up (without ice), small",,,,,,,,,,,,,In-N-Out Burger,14.0,oz.,221.52,29.42,0.21,10.46,1.66,0.0,149.1,2.7,411.09,2.44,,,,Unknown
"7up (without ice), x-large",,,,,,,,,,,,,In-N-Out Burger,42.0,oz.,399.84,58.22,41.96,16.93,10.22,92.61,145.53,0.56,54.77,4.19,,,,Unknown
add cadi,,,,,,,,,,,,,Chili's,1.0,Serving,3.36,0.91,0.8,0.0,0.0,0.0,0.0,0.0,0.04,0.0,,,,Unknown
add guacamole,,,,,,,,,,,,,Chili's,1.0,Serving,45.26,2.55,0.16,4.09,0.56,0.0,127.42,1.84,139.74,0.55,,,,Unknown
add shrimp,,,,,,,,,,,,,Chili's,1.0,Serving,5.95,0.08,0.0,0.09,0.03,10.55,47.35,0.0,8.5,1.14,,,,Unknown
"airport locations, outback breakfast",,,,,,,,,,,,,Outback Steakhouse,1.0,Serving,210.67,28.13,1.48,5.36,2.66,14.44,570.34,1.54,181.88,11.55,,,,Unknown
almonds,594.8,18.119999999999997,11.9,51.9,,Diabetic-Friendly Foods,ALMONDS,HARVEST FRESH,"Popcorn, Peanuts, Seeds & Related Snacks",,23.3,,,,,,,,,,,,,,,,,,Unknown
amaretto sour,,,,,,,,,,,,,Olive Garden,1.0,serving,227.69,34.48,33.07,0.2,0.06,0.0,7.47,0.1,43.95,0.16,,,,Unknown
american,,,,,,,,,,,,,Subway,1.0,Serving,8.88,1.65,0.0,0.18,0.09,0.0,28.81,0.0,113.47,0.12,,,,Unknown
"americano, large",,,,,,,,,,,,,McDonald's,1.0,Serving,8.88,1.65,0.0,0.18,0.09,0.0,28.81,0.0,113.47,0.12,,,,Unknown
"americano, medium",,,,,,,,,,,,,McDonald's,1.0,Serving,8.88,1.65,0.0,0.18,0.09,0.0,28.81,0.0,113.47,0.12,,,,Unknown
"americano, small",,,,,,,,,,,,,McDonald's,1.0,Serving,8.88,1.65,0.0,0.18,0.09,0.0,28.81,0.0,113.47,0.12,,,,Unknown
ancho salmon,,,,,,,,,,,,,Chili's,1.0,Serving,467.62,0.0,0.0,28.03,5.44,143.01,138.47,0.0,871.68,50.17,,,,Unknown
appetizer sampler,,,,,,,,,,,,,IHOP,1.0,Serving,64.72,15.41,8.66,0.61,0.03,0.0,1.42,5.55,191.38,1.4,,,,Unknown
apple,,,,,,,,,,,,,Panera Bread,1.0,Apple,94.64,25.13,18.91,0.31,0.05,0.0,1.82,4.37,194.74,0.47,,,,Unknown
apple bites,,,,,,,,,,,,,Wendy's,1.0,serving,98.92,8.69,1.32,5.8,1.42,22.67,158.12,0.87,73.01,3.0,,,,Unknown
apple juice,,,,,39.0,,,,,,,,Olive Garden,1.0,serving,114.08,28.02,23.86,0.32,0.05,0.0,9.92,0.5,250.48,0.25,,,,Low
apple pie,,,,,,,,,,,,,Church's Chicken,1.0,Serving,296.25,42.5,19.56,13.75,4.75,0.0,251.25,2.0,81.25,2.38,,,,Unknown
