food_name,category,description,brand,food_category,calories,carbohydrates,fiber,sugars,fats,proteins
Broccoli,Diabetic-Friendly Foods,BROCCOLI,GREAT VALUE,Frozen Vegetables,24.0,4.71,3.5,N/A,0.0,2.35
Broccoli,Diabetic-Friendly Foods,BROCCOLI,N/A,Pre-Packaged Fruit & Vegetables,34.0,5.41,2.0,N/A,0.34,2.7
Broccoli,Diabetic-Friendly Foods,BROCCOLI,MAMBO,Frozen Vegetables,29.0,3.53,2.4,N/A,0.0,1.18
Broccoli,Diabetic-Friendly Foods,BROCCOLI,EAT SMART,Pre-Packaged Fruit & Vegetables,29.0,4.71,3.5,N/A,0.0,3.53
Broccoli,Diabetic-Friendly Foods,BROCCOLI,GOOD & GATHER,Frozen Vegetables,24.0,4.71,3.5,N/A,0.0,2.35
Spinach,Diabetic-Friendly Foods,SPINACH,AHOLD,Pre-Packaged Fruit & Vegetables,24.0,3.53,2.4,N/A,0.0,3.53
Spinach,Diabetic-Friendly Foods,SPINACH,ESSENTIAL EVERYDAY,Canned Vegetables,21.0,3.33,1.7,N/A,0.0,1.67
Spinach,Diabetic-Friendly Foods,SPINACH,SIGNATURE SELECT,Pre-Packaged Fruit & Vegetables,29.0,3.53,2.4,N/A,0.0,2.35
Spinach,Diabetic-Friendly Foods,SPINACH,MIRACLE NOODLE,Pasta by Shape & Type,18.0,2.35,0.0,N/A,0.0,1.18
Spinach,Diabetic-Friendly Foods,SPINACH,WINN-DIXIE,Canned Vegetables,17.0,2.61,2.6,N/A,0.0,2.61
Kale,Diabetic-Friendly Foods,KALE,CUT 'N CLEAN,Pre-Packaged Fruit & Vegetables,53.0,9.73,1.8,N/A,0.88,3.54
Kale,Diabetic-Friendly Foods,KALE,GREENWISE,Pre-Packaged Fruit & Vegetables,47.0,8.24,3.5,N/A,1.18,4.71
Kale,Diabetic-Friendly Foods,KALE,N/A,Pre-Packaged Fruit & Vegetables,53.0,9.73,1.8,N/A,0.88,3.54
Kale,Diabetic-Friendly Foods,KALE,O ORGANICS,Pre-Packaged Fruit & Vegetables,47.0,4.71,3.5,N/A,1.76,2.35
Kale,Diabetic-Friendly Foods,"Kale, raw",N/A,Vegetables and Vegetable Products,148,4.42,4.1,N/A,1.49,2.92
Cauliflower,Diabetic-Friendly Foods,CAULIFLOWER,TOPS,Frozen Vegetables,312,50.0,25.0,N/A,0.0,12.5
Cauliflower,Diabetic-Friendly Foods,CAULIFLOWER,AVENUE,Frozen Vegetables,24.0,4.71,2.4,N/A,0.0,2.35
Cauliflower,Diabetic-Friendly Foods,CAULIFLOWER,SIMPLE TRUTH ORGANIC,Frozen Vegetables,24.0,4.71,2.4,N/A,0.0,2.35
Cauliflower,Diabetic-Friendly Foods,CAULIFLOWER,NATURE'S PROMISE,Frozen Vegetables,18.0,3.53,2.4,N/A,0.0,0.0
Cauliflower,Diabetic-Friendly Foods,CAULIFLOWER,ANDY BOY,Pre-Packaged Fruit & Vegetables,24.0,2.35,2.4,N/A,0.59,2.35
Zucchini,Diabetic-Friendly Foods,ZUCCHINI,FRESH FROM THE FARM,Pre-Packaged Fruit & Vegetables,21.0,4.21,1.1,N/A,0.0,1.05
Zucchini,Diabetic-Friendly Foods,"Squash, zucchini, baby, raw",N/A,Vegetables and Vegetable Products,88.0,3.11,1.1,N/A,0.4,2.71
Zucchini,Diabetic-Friendly Foods,"Squash, summer, zucchini, includes skin, raw",N/A,Vegetables and Vegetable Products,17.0,3.11,1.0,N/A,0.32,1.21
Zucchini,Diabetic-Friendly Foods,"Squash, summer, zucchini, italian style, canned",N/A,Vegetables and Vegetable Products,121,6.85,N/A,N/A,0.11,1.03
Zucchini,Diabetic-Friendly Foods,"Squash, summer, green, zucchini, includes skin, raw",N/A,Vegetables and Vegetable Products,N/A,N/A,0.752,N/A,0.205,0.984
Bell peppers,Diabetic-Friendly Foods,BELL PEPPERS,PERO FAMILY FARMS,Pre-Packaged Fruit & Vegetables,18.0,4.71,1.2,N/A,0.0,1.18
Bell peppers,Diabetic-Friendly Foods,"Peppers, bell, green, raw",N/A,Vegetables and Vegetable Products,N/A,4.78,0.942,N/A,0.106,0.715
Bell peppers,Diabetic-Friendly Foods,"Peppers, bell, orange, raw",N/A,Vegetables and Vegetable Products,N/A,6.7,0.967,N/A,0.156,0.882
Bell peppers,Diabetic-Friendly Foods,"Peppers, bell, red, raw",N/A,Vegetables and Vegetable Products,N/A,6.65,1.16,N/A,0.126,0.896
Bell peppers,Diabetic-Friendly Foods,"Peppers, bell, yellow, raw",N/A,Vegetables and Vegetable Products,N/A,6.6,1.07,N/A,0.121,0.819
Cucumber,Diabetic-Friendly Foods,"Cucumber, peeled, raw",N/A,Vegetables and Vegetable Products,44.0,2.16,0.7,N/A,0.16,0.59
Cucumber,Diabetic-Friendly Foods,"Cucumber, with peel, raw",N/A,Vegetables and Vegetable Products,15.0,3.63,0.5,N/A,0.11,0.65
Cucumber,Diabetic-Friendly Foods,"Cucumber, with peel, raw",N/A,Vegetables and Vegetable Products,N/A,2.95,N/A,N/A,0.178,0.625
Cucumber,Diabetic-Friendly Foods,"Pickles, cucumber, sour",N/A,Vegetables and Vegetable Products,11.0,2.26,1.2,N/A,0.2,0.33
Cucumber,Diabetic-Friendly Foods,"Pickles, cucumber, dill or kosher dill",N/A,Vegetables and Vegetable Products,50.0,1.99,1.0,N/A,0.43,0.48
Asparagus,Diabetic-Friendly Foods,ASPARAGUS,WEGMANS,Pre-Packaged Fruit & Vegetables,18.0,3.53,2.4,N/A,0.0,2.35
Asparagus,Diabetic-Friendly Foods,ASPARAGUS,FOOD LION,Pre-Packaged Fruit & Vegetables,22.0,4.3,2.2,N/A,0.0,2.15
Asparagus,Diabetic-Friendly Foods,ASPARAGUS,WELLSLEY FARMS,Pre-Packaged Fruit & Vegetables,18.0,3.53,2.4,N/A,0.0,2.35
Asparagus,Diabetic-Friendly Foods,ASPARAGUS,NATURE BLESSED,Frozen Vegetables,29.0,4.71,2.4,N/A,0.0,1.18
Asparagus,Diabetic-Friendly Foods,ASPARAGUS,PERO FAMILY FARMS,Pre-Packaged Fruit & Vegetables,18.0,3.53,2.4,N/A,0.0,2.35
Green beans,Diabetic-Friendly Foods,GREEN BEANS,FREEDOM'S CHOICE,Canned Vegetables,17.0,3.33,1.7,N/A,0.0,0.83
Green beans,Diabetic-Friendly Foods,GREEN BEANS,WINN-DIXIE,Canned Vegetables,17.0,3.33,1.7,N/A,0.0,0.83
Green beans,Diabetic-Friendly Foods,GREEN BEANS,GIANT EAGLE,Pre-Packaged Fruit & Vegetables,29.0,7.06,2.4,N/A,0.0,2.35
Green beans,Diabetic-Friendly Foods,GREEN BEANS,APPLAUSE,Frozen Vegetables,37.0,8.64,2.5,N/A,0.0,1.23
Green beans,Diabetic-Friendly Foods,GREEN BEANS,GOOD & GATHER,Canned Vegetables,35.0,7.06,2.4,N/A,0.0,2.35
Brussels sprouts,Diabetic-Friendly Foods,BRUSSELS SPROUTS,EAT SMART,Pre-Packaged Fruit & Vegetables,41.0,9.41,3.5,N/A,0.35,3.53
Brussels sprouts,Diabetic-Friendly Foods,BRUSSELS SPROUTS,SOUTHERN HOME,Frozen Vegetables,41.0,8.24,3.5,N/A,0.0,3.53
Brussels sprouts,Diabetic-Friendly Foods,BRUSSELS SPROUTS,PICTSWEET,Frozen Vegetables,53.0,9.41,3.5,N/A,0.0,3.53
Brussels sprouts,Diabetic-Friendly Foods,BRUSSELS SPROUTS,GREEN WAVE FARMS,Pre-Packaged Fruit & Vegetables,47.0,5.88,3.5,N/A,0.59,2.35
Brussels sprouts,Diabetic-Friendly Foods,BRUSSELS SPROUTS,FOOD LION,Frozen Vegetables,53.0,9.41,3.5,N/A,0.0,3.53
Apples,Diabetic-Friendly Foods,APPLES,APPLE COUNTRY,Pre-Packaged Fruit & Vegetables,52.0,14.3,3.2,N/A,0.0,0.0
Apples,Diabetic-Friendly Foods,APPLES,MICHIGAN APPLES,Pre-Packaged Fruit & Vegetables,54.0,14.0,2.1,N/A,0.0,0.41
Apples,Diabetic-Friendly Foods,APPLES,BIG Y,Pre-Packaged Fruit & Vegetables,52.0,14.3,3.2,N/A,0.0,0.0
Apples,Diabetic-Friendly Foods,APPLES,ATLAS,Pre-Packaged Fruit & Vegetables,52.0,14.3,3.2,N/A,0.0,1.95
Apples,Diabetic-Friendly Foods,APPLES,ALL FRESH GPS,Pre-Packaged Fruit & Vegetables,54.0,14.0,2.1,N/A,0.0,0.41
Strawberries,Diabetic-Friendly Foods,STRAWBERRIES,NEW SEASONS,Frozen Fruit & Fruit Juice Concentrates,36.0,9.29,N/A,N/A,0.0,0.71
Strawberries,Diabetic-Friendly Foods,STRAWBERRIES,TAYLOR FARMS,Pre-Packaged Fruit & Vegetables,35.0,7.84,2.0,N/A,0.39,0.78
Strawberries,Diabetic-Friendly Foods,STRAWBERRIES,AHOLD,Frozen Fruit & Fruit Juice Concentrates,36.0,9.29,2.1,N/A,0.0,0.71
Strawberries,Diabetic-Friendly Foods,STRAWBERRIES,PARDES FARMS,Frozen Fruit & Fruit Juice Concentrates,N/A,8.57,0.7,N/A,0.0,1.43
Strawberries,Diabetic-Friendly Foods,STRAWBERRIES,SMART HARVEST,Frozen Fruit & Fruit Juice Concentrates,34.0,N/A,2.1,N/A,0.0,0.69
Blueberries,Diabetic-Friendly Foods,BLUEBERRIES,PARADE,Frozen Fruit & Fruit Juice Concentrates,50.0,12.1,2.9,N/A,0.71,0.0
Blueberries,Diabetic-Friendly Foods,BLUEBERRIES,SHOPRITE,Frozen Fruit & Fruit Juice Concentrates,57.0,12.1,2.9,N/A,0.71,0.71
Blueberries,Diabetic-Friendly Foods,BLUEBERRIES,SPRINGFIELD,Frozen Fruit & Fruit Juice Concentrates,57.0,12.1,2.9,N/A,0.71,0.71
Blueberries,Diabetic-Friendly Foods,BLUEBERRIES,MARKET PANTRY,Frozen Fruit & Fruit Juice Concentrates,50.0,12.1,2.9,N/A,0.71,0.71
Blueberries,Diabetic-Friendly Foods,BLUEBERRIES,DOLE,Frozen Fruit & Fruit Juice Concentrates,57.0,12.1,2.9,N/A,0.71,0.71
Raspberries,Diabetic-Friendly Foods,RASPBERRIES,AHOLD,Frozen Fruit & Fruit Juice Concentrates,50.0,12.1,6.4,N/A,0.71,1.43
Raspberries,Diabetic-Friendly Foods,RASPBERRIES,REMLINGER FARMS,Frozen Fruit & Fruit Juice Concentrates,106,26.1,4.2,N/A,0.0,0.7
Raspberries,Diabetic-Friendly Foods,RASPBERRIES,WEIS,Frozen Fruit & Fruit Juice Concentrates,50.0,12.1,6.4,N/A,0.71,1.43
Raspberries,Diabetic-Friendly Foods,RASPBERRIES,GREAT VALUE,Frozen Fruit & Fruit Juice Concentrates,50.0,10.7,4.3,N/A,0.36,1.43
Raspberries,Diabetic-Friendly Foods,RASPBERRIES,365 WHOLE FOODS MARKET,Frozen Fruit & Fruit Juice Concentrates,N/A,12.1,6.4,N/A,0.71,1.43
Oranges,Diabetic-Friendly Foods,ORANGES,LONE STAR,Pre-Packaged Fruit & Vegetables,45.0,13.6,4.5,N/A,0.0,0.65
Oranges,Diabetic-Friendly Foods,ORANGES,N/A,Pre-Packaged Fruit & Vegetables,49.0,12.3,1.9,N/A,0.15,0.65
Oranges,Diabetic-Friendly Foods,"Marmalade, orange",N/A,Sweets,246,66.3,0.7,N/A,0.0,0.3
Oranges,Diabetic-Friendly Foods,"Sherbet, orange",N/A,Sweets,144,30.4,1.3,N/A,2.0,1.1
Oranges,Diabetic-Friendly Foods,"Babyfood, juice, orange",N/A,Baby Foods,45.0,10.2,0.1,N/A,0.3,0.6
Peaches,Diabetic-Friendly Foods,PEACHES,NUTT,Wholesome Snacks,238,62.5,7.5,N/A,0.0,2.5
Peaches,Diabetic-Friendly Foods,PEACHES,NUTTY & FRUITY,Wholesome Snacks,285,65.0,7.5,N/A,0.0,0.0
Peaches,Diabetic-Friendly Foods,PEACHES,NUTTY & FRUITY,Wholesome Snacks,264,60.7,7.1,N/A,0.0,0.0
Peaches,Diabetic-Friendly Foods,PEACHES,MICHIGAN FARM TO FREEZER,Pre-Packaged Fruit & Vegetables,36.0,9.29,1.4,N/A,0.0,0.0
Peaches,Diabetic-Friendly Foods,PEACHES,BRANDT,Pre-Packaged Fruit & Vegetables,41.0,10.2,1.4,N/A,0.34,0.68
Grapefruit,Diabetic-Friendly Foods,GRAPEFRUIT,WEGMANS ORGANIC,Pre-Packaged Fruit & Vegetables,42.0,10.8,1.5,N/A,0.0,0.77
Grapefruit,Diabetic-Friendly Foods,GRAPEFRUIT,Q SPECTACULAR,Soda,45.0,10.8,N/A,N/A,0.0,0.0
Grapefruit,Diabetic-Friendly Foods,GRAPEFRUIT,FRESH ROBINSON,Pre-Packaged Fruit & Vegetables,39.0,9.74,1.3,N/A,0.0,0.65
Grapefruit,Diabetic-Friendly Foods,GRAPEFRUIT,Q,Soda,45.0,10.8,N/A,N/A,0.0,0.0
Grapefruit,Diabetic-Friendly Foods,"Grapefruit juice, pink, raw",N/A,Fruits and Fruit Juices,163,9.2,N/A,N/A,0.1,0.5
Cherries,Diabetic-Friendly Foods,CHERRIES,DELL'S MARASCHINO CHERRIES,Baking Decorations & Dessert Toppings,83.0,33.3,0.0,N/A,0.0,0.0
Cherries,Diabetic-Friendly Foods,CHERRIES,SNACK WORTHY,Wholesome Snacks,324,78.4,0.0,N/A,0.0,0.0
Cherries,Diabetic-Friendly Foods,CHERRIES,LEHI VALLEY TRADING CO,Wholesome Snacks,325,80.0,5.0,N/A,0.0,2.5
Cherries,Diabetic-Friendly Foods,CHERRIES,MARIANI,Pre-Packaged Fruit & Vegetables,325,82.5,2.5,N/A,0.0,2.5
Cherries,Diabetic-Friendly Foods,"Cherries, sweet, raw",N/A,Fruits and Fruit Juices,263,16.0,2.1,N/A,0.2,1.06
Pears,Diabetic-Friendly Foods,PEARS,ROBINSON FRESH,Pre-Packaged Fruit & Vegetables,60.0,15.7,3.6,N/A,0.0,0.6
Pears,Diabetic-Friendly Foods,PEARS,NUTTY & FRUITY,Wholesome Snacks,288,67.5,15.0,N/A,0.0,2.5
Pears,Diabetic-Friendly Foods,"Pears, raw",N/A,Fruits and Fruit Juices,57.0,15.2,3.1,N/A,0.14,0.36
Pears,Diabetic-Friendly Foods,"Babyfood, juice, pear",N/A,Baby Foods,179,11.9,0.1,N/A,0.0,0.0
Pears,Diabetic-Friendly Foods,"Pears, asian, raw",N/A,Fruits and Fruit Juices,176,10.6,3.6,N/A,0.23,0.5
Plums,Diabetic-Friendly Foods,"Plums, raw",N/A,Fruits and Fruit Juices,46.0,11.4,1.4,N/A,0.28,0.7
Plums,Diabetic-Friendly Foods,"Carissa, (natal-plum), raw",N/A,Fruits and Fruit Juices,259,13.6,N/A,N/A,1.3,0.5
Plums,Diabetic-Friendly Foods,"Java-plum, (jambolan), raw",N/A,Fruits and Fruit Juices,251,15.6,N/A,N/A,0.23,0.72
Plums,Diabetic-Friendly Foods,"Plum, black, with skin, raw",N/A,Fruits and Fruit Juices,N/A,13.5,1.35,N/A,0.282,0.578
Plums,Diabetic-Friendly Foods,"Plums, dried (prunes), uncooked",N/A,Fruits and Fruit Juices,240,63.9,7.1,N/A,0.38,2.18
Kiwi,Diabetic-Friendly Foods,KIWI,MIGHTIES,Pre-Packaged Fruit & Vegetables,61.0,14.9,2.7,N/A,0.68,1.35
Kiwi,Diabetic-Friendly Foods,KIWI,MIGHTIES,Pre-Packaged Fruit & Vegetables,61.0,14.9,2.7,N/A,0.68,1.35
Kiwi,Diabetic-Friendly Foods,KIWI,AHOLD,Pre-Packaged Fruit & Vegetables,N/A,N/A,N/A,N/A,N/A,N/A
Kiwi,Diabetic-Friendly Foods,KIWI,REGAL GOURMET SNACKS,Wholesome Snacks,353,86.7,3.3,N/A,0.0,0.0
Kiwi,Diabetic-Friendly Foods,"Beverages, Kiwi Strawberry Juice Drink",N/A,Beverages,195,12.3,0.0,N/A,0.0,0.0
Quinoa,Diabetic-Friendly Foods,QUINOA,EASY QUINOA,Frozen Dinners & Entrees,107,20.0,2.1,N/A,1.79,2.86
Quinoa,Diabetic-Friendly Foods,QUINOA,N/A,Other Grains & Seeds,360,70.0,6.0,N/A,4.0,10.0
Quinoa,Diabetic-Friendly Foods,QUINOA,EILLIEN'S,Other Grains & Seeds,357,64.3,7.1,N/A,7.14,14.3
Quinoa,Diabetic-Friendly Foods,QUINOA,SUNRISE NATURAL FOODS,Other Grains & Seeds,375,71.4,7.1,N/A,7.14,14.3
Quinoa,Diabetic-Friendly Foods,QUINOA,KROGER,Other Grains & Seeds,333,66.7,9.5,N/A,4.76,14.3
Barley,Diabetic-Friendly Foods,BARLEY,FABI-SAA,Other Grains & Seeds,106,23.9,0.9,N/A,0.0,1.77
Barley,Diabetic-Friendly Foods,BARLEY,MI COSTENITA,Other Grains & Seeds,0.0,0.0,0.0,N/A,0.0,0.0
Barley,Diabetic-Friendly Foods,BARLEY,GOYA,Other Grains & Seeds,354,77.1,14.6,N/A,1.04,10.4
Barley,Diabetic-Friendly Foods,"Barley, hulled",N/A,Cereal Grains and Pasta,1480.0,73.5,17.3,N/A,2.3,12.5
Barley,Diabetic-Friendly Foods,"Flour, barley",N/A,Cereal Grains and Pasta,N/A,77.4,12.8,N/A,2.45,8.72
Brown rice,Diabetic-Friendly Foods,BROWN RICE,N/A,Rice,349,76.7,4.7,N/A,2.33,9.3
Brown rice,Diabetic-Friendly Foods,BROWN RICE,BIG WIN,Rice,378,75.6,6.7,N/A,3.33,8.89
Brown rice,Diabetic-Friendly Foods,BROWN RICE,GOYA,Rice,357,76.2,4.8,N/A,3.57,7.14
Brown rice,Diabetic-Friendly Foods,BROWN RICE,FOOD LION,Rice,360,78.0,4.0,N/A,3.0,8.0
Brown rice,Diabetic-Friendly Foods,BROWN RICE,GIANT EAGLE,Rice,380,78.0,4.0,N/A,3.0,8.0
Oats,Diabetic-Friendly Foods,OATS,ROLLINI' OATS,Cereal,375,67.5,10.0,N/A,6.25,12.5
Oats,Diabetic-Friendly Foods,OATS,CLOVER VALLEY,Cereal,375,67.5,10.0,N/A,6.25,12.5
Oats,Diabetic-Friendly Foods,"Oil, oat",N/A,Fats and Oils,884,0.0,0.0,N/A,100,0.0
Oats,Diabetic-Friendly Foods,"Bagels, oat bran",N/A,Baked Products,1070.0,53.3,3.6,N/A,1.2,10.7
Oats,Diabetic-Friendly Foods,"Bread, oat bran",N/A,Baked Products,987,39.8,4.5,N/A,4.4,10.4
Whole wheat pasta,Diabetic-Friendly Foods,WHOLE WHEAT PASTA,DELALLO,Pasta by Shape & Type,357,76.8,10.7,N/A,2.68,10.7
Whole wheat pasta,Diabetic-Friendly Foods,"Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, cooked",N/A,Cereal Grains and Pasta,665,31.5,4.6,N/A,1.5,5.82
Whole wheat pasta,Diabetic-Friendly Foods,"Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, dry",N/A,Cereal Grains and Pasta,362,73.1,10.1,N/A,2.68,13.5
Whole wheat pasta,Diabetic-Friendly Foods,"Crackers, whole-wheat",N/A,Baked Products,1790.0,69.6,10.3,N/A,14.1,10.6
Whole wheat pasta,Diabetic-Friendly Foods,"Wheat flour, whole-grain, soft wheat",N/A,Cereal Grains and Pasta,1390.0,74.5,13.1,N/A,1.95,9.61
Buckwheat,Diabetic-Friendly Foods,Buckwheat,N/A,Cereal Grains and Pasta,1440.0,71.5,10.0,N/A,3.4,13.2
Buckwheat,Diabetic-Friendly Foods,BUCKWHEAT,LIOR,Cereal,92.0,19.6,2.7,N/A,0.6,2.98
Buckwheat,Diabetic-Friendly Foods,"Flour, buckwheat",N/A,Cereal Grains and Pasta,N/A,75.0,10.4,N/A,2.48,8.88
Buckwheat,Diabetic-Friendly Foods,"Buckwheat, whole grain",N/A,Cereal Grains and Pasta,N/A,71.1,4.05,N/A,3.04,11.1
Buckwheat,Diabetic-Friendly Foods,"Buckwheat flour, whole-groat",N/A,Cereal Grains and Pasta,335,70.6,10.0,N/A,3.1,12.6
Farro,Diabetic-Friendly Foods,FARRO,SIMPLY BALANCED,Other Grains & Seeds,133,29.3,2.7,N/A,0.67,3.33
Farro,Diabetic-Friendly Foods,FARRO,HY-VEE SELECT,Other Grains & Seeds,311,66.7,6.7,N/A,N/A,13.3
Farro,Diabetic-Friendly Foods,FARRO,PEREG,Other Grains & Seeds,374,70.3,6.6,N/A,2.2,15.4
Farro,Diabetic-Friendly Foods,FARRO,RALEY'S,Other Grains & Seeds,143,29.3,2.9,N/A,0.36,5.71
Farro,Diabetic-Friendly Foods,FARRO,WEGMANS,Other Grains & Seeds,356,73.3,6.7,N/A,1.11,13.3
Bulgur,Diabetic-Friendly Foods,BULGUR,MEIJER,Other Grains & Seeds,341,67.0,8.0,N/A,2.27,12.5
Bulgur,Diabetic-Friendly Foods,BULGUR,WILD GARDEN,Other Grains & Seeds,150,32.0,4.0,N/A,1.0,4.0
Bulgur,Diabetic-Friendly Foods,BULGUR,PEREG,Cereal,342,76.0,18.0,N/A,1.3,12.0
Bulgur,Diabetic-Friendly Foods,"Bulgur, cooked",N/A,Cereal Grains and Pasta,347,18.6,4.5,N/A,0.24,3.08
Bulgur,Diabetic-Friendly Foods,"Bulgur, dry",N/A,Cereal Grains and Pasta,1430.0,75.9,12.5,N/A,1.33,12.3
Chicken breast,Diabetic-Friendly Foods,CHICKEN BREAST,GIANT EAGLE,"Poultry, Chicken & Turkey",165,1.06,0.0,N/A,8.1,20.4
Chicken breast,Diabetic-Friendly Foods,CHICKEN BREAST,TYSON,"Pepperoni, Salami & Cold Cuts",143,3.57,0.0,N/A,8.93,14.3
Chicken breast,Diabetic-Friendly Foods,CHICKEN BREAST,JENNIE-O,Cooked & Prepared,107,1.79,0.0,N/A,1.79,19.6
Chicken breast,Diabetic-Friendly Foods,CHICKEN BREAST,BUTTERFIELD FARMS,Canned Meat,107,0.0,0.0,N/A,1.79,21.4
Chicken breast,Diabetic-Friendly Foods,CHICKEN BREAST,H-E-B,Other Deli,96.0,5.71,1.3,N/A,4.16,11.4
Turkey breast,Diabetic-Friendly Foods,TURKEY BREAST,DIESTEL,"Pepperoni, Salami & Cold Cuts",123,0.0,N/A,N/A,0.88,28.1
Turkey breast,Diabetic-Friendly Foods,TURKEY BREAST,N/A,"Pepperoni, Salami & Cold Cuts",89.0,0.0,N/A,N/A,0.09,19.6
Turkey breast,Diabetic-Friendly Foods,TURKEY BREAST,HORMEL,"Pepperoni, Salami & Cold Cuts",107,1.79,0.0,N/A,1.79,21.4
Turkey breast,Diabetic-Friendly Foods,TURKEY BREAST,CASA CARDENAS,"Pepperoni, Salami & Cold Cuts",89.0,3.57,0.0,N/A,1.79,16.1
Turkey breast,Diabetic-Friendly Foods,TURKEY BREAST,JENNIE-O,"Pepperoni, Salami & Cold Cuts",89.0,3.57,0.0,N/A,1.79,14.3
Salmon,Diabetic-Friendly Foods,SALMON,N/A,Fish & Seafood,232,0.0,0.0,N/A,15.5,19.0
Salmon,Diabetic-Friendly Foods,SALMON,SEA CUISINE,Frozen Fish & Seafood,139,2.65,0.7,N/A,7.95,15.2
Salmon,Diabetic-Friendly Foods,SALMON,BLUE CIRCLE,Frozen Fish & Seafood,207,0.0,0.0,N/A,13.2,20.7
Salmon,Diabetic-Friendly Foods,SALMON,SANTA MONICA SEAFOOD,Fish & Seafood,209,1.82,0.0,N/A,11.8,21.8
Salmon,Diabetic-Friendly Foods,"Fish oil, salmon",N/A,Fats and Oils,3770.0,0.0,0.0,N/A,100,0.0
Cod,Diabetic-Friendly Foods,COD,MOREY'S,Frozen Fish & Seafood,100,5.29,0.6,N/A,2.94,12.4
Cod,Diabetic-Friendly Foods,COD,BLUE CIRCLE,Fish & Seafood,80.0,0.0,0.0,N/A,0.94,17.8
Cod,Diabetic-Friendly Foods,"Fish oil, cod liver",N/A,Fats and Oils,3770.0,0.0,0.0,N/A,100,0.0
Cod,Diabetic-Friendly Foods,"Fish, cod, Atlantic, raw",N/A,Finfish and Shellfish Products,82.0,0.0,0.0,N/A,0.67,17.8
Cod,Diabetic-Friendly Foods,"Fish, cod, Pacific, cooked",N/A,Finfish and Shellfish Products,351,0.0,N/A,N/A,0.25,20.4
Tofu,Diabetic-Friendly Foods,TOFU,ALOHA TOFU,Other Meats,N/A,N/A,N/A,N/A,N/A,N/A
Tofu,Diabetic-Friendly Foods,TOFU,HOUSE FOODS,Other Meats,94.0,2.35,2.4,N/A,5.29,9.41
Tofu,Diabetic-Friendly Foods,TOFU,HOUSE FOODS,Other Meats,94.0,1.18,0.0,N/A,5.88,9.41
Tofu,Diabetic-Friendly Foods,TOFU,AZUMAYA,Other Meats,82.0,2.35,1.2,N/A,4.12,8.24
Tofu,Diabetic-Friendly Foods,TOFU,AZUMAYA,Other Meats,49.0,1.1,0.0,N/A,2.2,4.4
Tempeh,Diabetic-Friendly Foods,Tempeh,N/A,Legumes and Legume Products,803,7.64,N/A,N/A,10.8,20.3
Tempeh,Diabetic-Friendly Foods,"Tempeh, cooked",N/A,Legumes and Legume Products,817,7.62,N/A,N/A,11.4,19.9
Tempeh,Diabetic-Friendly Foods,ORIGINAL TEMPEH,LIGHTLIFE,Pasta Dinners,190,14.3,7.1,N/A,5.36,21.4
Tempeh,Diabetic-Friendly Foods,"ORGANIC TEMPEH RANCHERO SQUARITO BURRITO, TEMPEH RANCHERO",ENGINE 2,Prepared Wraps and Burittos,135,23.5,4.7,N/A,2.94,7.06
Tempeh,Diabetic-Friendly Foods,"FLAX TEMPEH, FLAX",LIGHTLIFE,Other Meats,214,9.52,7.1,N/A,9.52,21.4
Eggs,Diabetic-Friendly Foods,EGGS,N/A,Eggs & Egg Substitutes,140,0.0,0.0,N/A,10.0,12.0
Eggs,Diabetic-Friendly Foods,EGGS,N/A,Eggs & Egg Substitutes,136,0.0,N/A,N/A,9.09,13.6
Eggs,Diabetic-Friendly Foods,EGGS,OAKDELL EGG,Eggs & Egg Substitutes,143,0.0,N/A,N/A,9.52,12.7
Eggs,Diabetic-Friendly Foods,EGGS,KIRKLAND,Eggs & Egg Substitutes,143,0.0,N/A,N/A,8.93,12.5
Eggs,Diabetic-Friendly Foods,EGGS,RALEY'S,Eggs & Egg Substitutes,140,0.0,N/A,N/A,10.0,12.0
Greek yogurt,Diabetic-Friendly Foods,GREEK YOGURT,OCEAN SPRAY,"Popcorn, Peanuts, Seeds & Related Snacks",467,70.0,3.3,N/A,20.0,3.33
