restaurant_name,food_name,serving_size,serving_unit,calories,carbohydrates,sugars,fats,saturated_fats,cholesterol,sodium,fiber,potassium,proteins,carb_percent,fat_percent,protein_percent
McDonald's Canada,Egg BLT McMuffin with Shredded Lettuce (McDonald's in Walmart),1.0,Serving,7.99,1.55,0.56,0.14,0.02,0.0,3.76,0.99,116.09,0.58,77.59699624530664,15.769712140175221,29.036295369211512
McDonald's,Cheeseburger,1.0,Serving,535.31,39.24,7.16,28.66,14.0,95.52,1176.09,2.39,443.77,30.27,29.321327828734756,48.185163736900115,22.61866955595823
McDonald's,Hamburger,1.0,Serving,540.14,40.27,7.16,26.56,10.52,122.04,791.0,0.03,569.52,34.28,29.821898026437594,44.255193098085684,25.386011034176327
McDonald's,Honey,1.0,Serving,63.84,17.3,17.25,0.0,0.0,0.0,0.84,0.04,10.92,0.06,108.39598997493734,0.0,0.37593984962406013
McDonald's,Hotcakes,1.0,Serving,90.8,11.32,7.16,3.88,0.85,23.6,175.6,0.03,52.8,2.56,49.867841409691636,38.458149779735685,11.277533039647578
McDonald's,McChicken,1.0,Serving,193.28,9.66,0.05,12.68,2.09,28.16,362.24,0.03,161.28,10.11,19.991721854304636,59.043874172185426,20.92301324503311
McDonald's,McCrispy,1.0,Serving,470.0,19.795,7.16,8.81,0.47,1.52,115.8,0.03,140.17,6.11,16.8468085106383,16.870212765957447,5.2
McDonald's,McDouble,1.0,Serving,391.64,38.51,8.68,17.48,7.22,52.34,878.77,2.23,303.71,20.09,39.33203962823001,40.169543458278014,20.51884383617608
McDonald's,"Americano, Large",1.0,Serving,8.88,1.65,0.0,0.18,0.09,0.0,28.81,0.0,113.47,0.12,74.32432432432431,18.24324324324324,5.405405405405405
McDonald's,"Americano, Medium",1.0,Serving,8.88,1.65,0.0,0.18,0.09,0.0,28.81,0.0,113.47,0.12,74.32432432432431,18.24324324324324,5.405405405405405
McDonald's,"Americano, Small",1.0,Serving,8.88,1.65,0.0,0.18,0.09,0.0,28.81,0.0,113.47,0.12,74.32432432432431,18.24324324324324,5.405405405405405
McDonald's,Apple Slices,1.0,Serving,114.08,28.02,23.86,0.32,0.05,0.0,9.92,0.5,250.48,0.25,98.24684431977559,2.524544179523142,0.876577840112202
McDonald's,Big Breakfast,1.0,Serving,345.84,68.62,11.04,1.73,0.47,0.0,552.82,2.1,140.17,13.83,79.36618089289847,4.502081887578071,15.99583622484386
McDonald's,Big Mac,1.0,Serving,562.83,43.98,8.69,32.76,8.33,78.84,1007.4,3.5,396.39,25.89,31.256329619956286,52.385267309844885,18.399872075049302
