food_name,category,description,food_category,calories,carbohydrates,fiber,sugars,fats,proteins,score
Almond Butter,Individual Foods,ALMOND BUTTER,Nut & Seed Butters,587.8,22.5,11.0,6.992,50.980000000000004,21.32,0.4612
Almond Flour,Individual Foods,ALMOND FLOUR,Flours & Corn Meal,604.8,19.639999999999997,9.22,6.348,52.08,21.18,0.4304
Almonds,Individual Foods,ALMONDS,"Popcorn, Peanuts, Seeds & Related Snacks",594.8,18.119999999999997,11.9,3.1420000000000003,51.9,20.66,0.5462
Apples,Individual Foods,APPLES,Pre-Packaged Fruit & Vegetables,52.8,14.180000000000001,2.7600000000000002,10.48,0.0,0.554,0.1746
Asparagus,Individual Foods,ASPARAGUS,Pre-Packaged Fruit & Vegetables,21.0,3.9199999999999995,2.3600000000000003,2.0759999999999996,0.0,2.0759999999999996,0.296
Avocado oil,Individual Foods,AVOCADO OIL,Vegetable & Cooking Oils,813.4,0.0,0.0,0.0,93.3,0.0,0.3
Barley,Individual Foods,BARLEY,Other Grains & Seeds,593.5,50.38,9.120000000000001,0.6839999999999999,1.158,6.678,0.5796
Basil,Individual Foods,BASIL,Herbs & Spices,231.25,0.0,0.0,0.0,26.45,0.0,0.3
Bell peppers,Individual Foods,BELL PEPPERS,Pre-Packaged Fruit & Vegetables,43.6,5.888,1.0677999999999999,1.998,0.1018,0.8984,0.29500000000000004
Black beans,Individual Foods,BLACK BEANS,Canned & Bottled Beans,96.75,17.225,6.074999999999999,0.4875,0.1475,6.0975,0.55375
Blackberries,Individual Foods,BLACKBERRIES,Frozen Fruit & Fruit Juice Concentrates,61.6,13.937999999999999,5.0200000000000005,8.623999999999999,0.21799999999999997,1.152,0.2398
Blueberries,Individual Foods,BLUEBERRIES,Frozen Fruit & Fruit Juice Concentrates,50.6,11.394,2.7399999999999998,8.142,0.71,0.426,0.1554
Broccoli,Individual Foods,BROCCOLI,Frozen Vegetables,28.0,4.614,2.98,1.448,0.068,2.4219999999999997,0.3378
Brown rice,Individual Foods,BROWN RICE,Rice,372.8,76.64,4.7,0.0,3.78,8.0,0.6728
Brussels sprouts,Individual Foods,BRUSSELS SPROUTS,Pre-Packaged Fruit & Vegetables,50.6,9.41,3.5,2.35,0.06999999999999999,3.53,0.36
Buckwheat,Individual Foods,Buckwheat,Cereal Grains and Pasta,784.4,61.55999999999999,7.4300000000000015,1.208,2.524,9.751999999999999,0.6668000000000001
Bulgur,Individual Foods,BULGUR,Other Grains & Seeds,522.0,53.9,9.4,1.6099999999999999,1.2280000000000002,8.776,0.6416000000000001
Cabbage,Individual Foods,"Cabbage, kimchi",Vegetables and Vegetable Products,26.0,4.488,2.15,1.8960000000000001,0.21960000000000002,1.1082,0.301
Canned Tuna,Individual Foods,"Fish, tuna, light, canned in oil, drained solids",Finfish and Shellfish Products,486.4,0.016,0.0,0.0,5.682,25.46,0.3992
Cashews,Individual Foods,CASHEWS,"Popcorn, Peanuts, Seeds & Related Snacks",574.8,30.220000000000006,4.12,5.366,46.339999999999996,16.839999999999996,0.5122
Cauliflower,Individual Foods,CAULIFLOWER,Frozen Vegetables,80.4,12.824000000000002,6.92,5.706,0.118,3.91,0.3992
Cauliflower Rice,Individual Foods,CAULIFLOWER RICE,Pre-Packaged Fruit & Vegetables,60.4,4.758,2.21,2.148,0.15760000000000002,2.054,0.2992
Celery,Individual Foods,CELERY,Pre-Packaged Fruit & Vegetables,29.8,3.442,1.7550000000000001,1.7420000000000002,0.0664,0.2364,0.28759999999999997
Cherries,Individual Foods,CHERRIES,Baking Decorations & Dessert Toppings,264.0,58.04,1.92,46.040000000000006,0.04,1.2120000000000002,0.2666
Chia seeds,Individual Foods,CHIA SEEDS,Other Grains & Seeds,488.0,43.099999999999994,33.3,0.0,30.5,16.7,0.894
Chicken Legs,Individual Foods,"Chicken, broilers or fryers, leg, meat and skin, raw",Poultry Products,674.4,0.164,0.0,0.0,10.286,22.439999999999998,0.39720000000000005
Chicken Tenders,Individual Foods,CHICKEN TENDERS,Frozen Appetizers & Hors D'oeuvres,204.8,12.0,1.6199999999999999,0.238,10.432,15.680000000000001,0.5024
Chicken Thigh,Individual Foods,CHICKEN THIGH,"Frozen Poultry, Chicken & Turkey",459.25,3.9675,0.025,0.22,22.805,15.219999999999999,0.40525
Chicken breast,Individual Foods,CHICKEN BREAST,"Poultry, Chicken & Turkey",123.6,2.4259999999999997,0.26,0.602,4.954,17.419999999999998,0.38780000000000003
Chickpeas,Individual Foods,CHICKPEAS,Canned & Bottled Beans,104.0,18.619999999999997,4.66,1.392,1.474,6.062,0.5136000000000001
Chocolate,Individual Foods,CHOCOLATE,Chocolate,472.2,65.4,3.8200000000000003,56.14,23.94,4.262,0.4462
Cinnamon,Individual Foods,CINNAMON,Herbs & Spices,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Coconut Water,Individual Foods,COCONUT WATER,Plant Based Water,20.0,4.544,0.0,4.016,0.09,0.1,0.18319999999999997
Coconut oil,Individual Foods,COCONUT OIL,Vegetable & Cooking Oils,875.4,0.0,0.0,0.0,98.66,0.0,0.3
Cocounut Flakes,Individual Foods,"Onions, dehydrated flakes",Vegetables and Vegetable Products,655.75,79.65,9.95,26.575,3.44,8.1625,0.36424999999999996
Cod,Individual Foods,COD,Frozen Fish & Seafood,153.25,1.3225,0.15,0.0,1.2,17.1,0.3995
Coffee,Individual Foods,COFFEE,Other Drinks,221.4,20.78,2.0,11.7,14.34,3.1879999999999997,0.34299999999999997
Cottage cheese,Individual Foods,COTTAGE CHEESE,Cheese,90.6,5.029999999999999,0.0,3.998,3.226,10.124,0.2386
Couscous,Individual Foods,COUSCOUS,Pasta by Shape & Type,366.75,74.475,4.375,0.9575,0.5725,12.9,0.675
Cucumber,Individual Foods,"Cucumber, peeled, raw",Vegetables and Vegetable Products,34.0,2.598,1.035,1.5859999999999999,0.2156,0.5349999999999999,0.2778
Dark Chocolate,Individual Foods,DARK CHOCOLATE,"Popcorn, Peanuts, Seeds & Related Snacks",528.6,49.62,7.24,33.22,38.6,6.8260000000000005,0.5708
Dark chocolate,Individual Foods,DARK CHOCOLATE,"Popcorn, Peanuts, Seeds & Related Snacks",528.6,49.62,7.24,33.22,38.6,6.8260000000000005,0.5708
Edamame,Individual Foods,EDAMAME,Frozen Vegetables,119.4,10.267999999999999,4.7,2.3200000000000003,4.62,10.602,0.42060000000000003
Eggplant,Individual Foods,"Eggplant, pickled",Vegetables and Vegetable Products,38.4,7.5840000000000005,2.59,3.3280000000000003,0.292,0.8783999999999998,0.2782
Eggs,Individual Foods,EGGS,Eggs & Egg Substitutes,141.0,0.0,0.0,0.0,9.294,12.66,0.363
Farro,Individual Foods,FARRO,Other Grains & Seeds,263.4,53.779999999999994,5.12,0.44000000000000006,2.2960000000000003,10.208000000000002,0.7128
Feta Cheese,Individual Foods,FETA CHEESE,Cheese,246.6,3.5700000000000003,0.72,0.714,18.567999999999998,17.88,0.40279999999999994
Flax seeds,Individual Foods,FLAX SEEDS,Other Grains & Seeds,487.6,29.580000000000002,27.439999999999998,0.0,40.54,17.66,0.77
Ghee,Individual Foods,GHEE,Butter & Spread,900.2,0.0,0.0,0.0,100.0,10.76,0.32
Ginger,Individual Foods,GINGER,Herbs & Spices,374.8,19.738,3.6399999999999997,1.65,0.998,2.16,0.3908
Grapefruit,Individual Foods,GRAPEFRUIT,Pre-Packaged Fruit & Vegetables,66.8,10.268,0.9099999999999999,8.732,0.02,0.384,0.1192
Greek yogurt,Individual Foods,GREEK YOGURT,"Popcorn, Peanuts, Seeds & Related Snacks",167.4,21.824,0.8,20.718,5.8100000000000005,7.196000000000001,0.21459999999999999
Green Peas,Individual Foods,GREEN PEAS,Frozen Vegetables,79.8,12.568000000000001,4.540000000000001,5.004,0.11200000000000002,5.465999999999999,0.3074
Green beans,Individual Foods,GREEN BEANS,Canned Vegetables,27.0,5.884,2.1399999999999997,2.82,0.0,1.518,0.2796
Hard-boiled eggs,Individual Foods,HARD-BOILED EGGS,Eggs & Egg Substitutes,145.2,0.22799999999999998,0.0,0.0,9.312000000000001,13.38,0.369
Hot Sauce,Individual Foods,HOT SAUCE,"Ketchup, Mustard, BBQ & Cheese Sauce",0.0,0.0,0.0,14.1,0.0,0.0,0.12
Hummus,Individual Foods,HUMMUS,Dips & Salsa,233.0,19.259999999999998,5.0200000000000005,3.342,16.02,7.93,0.45620000000000005
Juice,Individual Foods,JUICE,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",32.4,8.040000000000001,0.34,6.556,0.0,0.314,0.17880000000000001
Kale,Individual Foods,KALE,Pre-Packaged Fruit & Vegetables,69.6,7.366,2.94,0.9039999999999999,1.238,3.412,0.3902
Kale Chips,Individual Foods,KALE CHIPS,"Chips, Pretzels & Snacks",501.6,37.38,9.66,3.5700000000000003,33.2,17.82,0.6986
Ketchup,Individual Foods,KETCHUP,"Ketchup, Mustard, BBQ & Cheese Sauce",123.0,28.060000000000002,0.0,20.48,0.0,0.0,0.2672
Kidney beans,Individual Foods,KIDNEY BEANS,Canned & Bottled Beans,86.4,15.080000000000002,5.88,1.54,0.076,5.996,0.4902
Kimchi,Individual Foods,KIMCHI,"Pickles, Olives, Peppers & Relishes",26.6,5.836,1.5,1.9600000000000002,0.19,1.8579999999999999,0.3066
Kiwi,Individual Foods,KIWI,Pre-Packaged Fruit & Vegetables,89.5,12.8475,1.875,8.08,0.34,1.03125,0.196
Lemon Juice,Individual Foods,LEMON JUICE,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",18.2,1.3800000000000001,0.06,2.522,0.048,0.06999999999999999,0.21339999999999998
Lemonade,Individual Foods,LEMONADE,Soda,112.0,26.360000000000003,0.42000000000000004,26.18,0.0,0.0,0.13940000000000002
Lentils,Individual Foods,LENTILS,Vegetable and Lentil Mixes,233.0,50.18,15.4,0.726,0.702,19.804,0.7916000000000001
Lime Juice,Individual Foods,LIME JUICE,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",54.0,11.276,0.74,5.736,0.382,0.5559999999999999,0.2952
Macadamia Nuts,Individual Foods,MACADAMIA NUTS,"Popcorn, Peanuts, Seeds & Related Snacks",691.2,18.78,7.380000000000001,8.238,67.42,8.709999999999999,0.4342
Mayonnaise,Individual Foods,MAYONNAISE,Salad Dressing & Mayonnaise,707.4,0.0,0.0,0.0,77.38,0.0,0.3
Mixed Nuts,Individual Foods,MIXED NUTS,"Popcorn, Peanuts, Seeds & Related Snacks",619.4,19.04,8.52,3.3,55.96,19.740000000000002,0.5394
Mixed nuts,Individual Foods,MIXED NUTS,"Popcorn, Peanuts, Seeds & Related Snacks",619.4,19.04,8.52,3.3,55.96,19.740000000000002,0.5394
Mozzarella cheese,Individual Foods,MOZZARELLA CHEESE,Cheese,292.8,3.678,0.0,0.714,20.06,24.22,0.4064
Mushrooms,Individual Foods,MUSHROOMS,Canned Vegetables,20.0,3.3939999999999997,1.9600000000000002,0.706,0.154,1.512,0.3378
